127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000604
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.002310
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000592
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000562
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000566
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 304, 0.000594
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 304, 0.000606
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 304, 0.000562
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 304, 0.000610
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 304, 0.000535
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 304, 0.000520
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 304, 0.000521
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 304, 0.000544
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 304, 0.000519
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 304, 0.000532
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.027411
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000563
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000536
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000553
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000557
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/save_icon.png, HTTP/1.1, 304, 0.000601
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000594
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.000572
127.0.0.1, 2013-02-07 15:22:48, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.003472
127.0.0.1, 2013-02-07 15:23:00, GET, /admin/default/design/APP_1, HTTP/1.1, 200, 0.163198
127.0.0.1, 2013-02-07 15:23:07, GET, /APP_1/appadmin/index, HTTP/1.1, 200, 0.056461
127.0.0.1, 2013-02-07 15:23:07, GET, /APP_1/static/js/share.js, HTTP/1.1, 304, 0.000538
127.0.0.1, 2013-02-07 15:23:09, GET, /APP_1/appadmin/insert/db/ADDME, HTTP/1.1, 200, 0.059645
127.0.0.1, 2013-02-07 15:23:09, GET, /APP_1/static/js/share.js, HTTP/1.1, 304, 0.000655
127.0.0.1, 2013-02-07 15:23:18, POST, /APP_1/appadmin/insert/db/ADDME, HTTP/1.1, 200, 0.230754
127.0.0.1, 2013-02-07 15:23:18, GET, /APP_1/static/js/share.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2013-02-07 15:23:25, GET, /APP_1/appadmin/insert/db/ADDME, HTTP/1.1, 200, 0.063210
127.0.0.1, 2013-02-07 15:25:35, POST, /APP_1/appadmin/insert/db/ADDME, HTTP/1.1, 200, 0.194777
127.0.0.1, 2013-02-07 15:25:35, GET, /APP_1/static/js/share.js, HTTP/1.1, 304, 0.000638
127.0.0.1, 2013-02-07 15:25:41, GET, /APP_1/appadmin/state, HTTP/1.1, 200, 0.078720
127.0.0.1, 2013-02-07 15:25:41, GET, /APP_1/static/js/share.js, HTTP/1.1, 304, 0.000504
127.0.0.1, 2013-02-07 15:25:55, POST, /APP_1/appadmin/insert/db/ADDME, HTTP/1.1, 200, 0.074610
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000643
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/jquery.js, HTTP/1.1, 304, 0.000596
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/css/calendar.css, HTTP/1.1, 304, 0.000617
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/js/calendar.js, HTTP/1.1, 304, 0.000635
127.0.0.1, 2013-02-07 15:25:55, GET, /APP_1/static/css/web2py.css, HTTP/1.1, 304, 0.002030
